ID,Title,Studio,Gross,Year,Genre
1,Star Wars: The Force Awakens,Buena Vista,934940519,2015,Sci-Fi 
2,Avatar,Fox,760507625,2009,Sci-Fi 
3,Titanic,Paramount,658672302,1997,Romance 
4,Jurassic World,Universal,652270625,2015,Horror
5,Marvel's The Avengers,Buena Vista,623357910,2012,Superhero 
6,The Dark Knight,Warner Bros.,534858444,2008,Superhero 
7,Star Wars: Episode I - The Phantom Menace,Fox,474544677,1999,Sci-Fi 
8,Star Wars,Fox,460998007,1977,Sci-Fi 
9,Avengers: Age of Ultron,Buena Vista,459005868,2015,Superhero 
10,The Dark Knight Rises,Warner Bros.,448139099,2012,Superhero 
11,Shrek 2,DreamWorks,441226247,2004,Animation 
12,E.T.: The Extra-Terrestrial,Universal,435110554,1982,Family  
13,The Hunger Games: Catching Fire,Lionsgate,424668047,2013,Adventure 
14,Pirates of the Caribbean: Dead Man's Chest,Buena Vista,423315812,2006,Adventure 
15,The Lion King,Buena Vista,422783777,1994,Animation 
16,Toy Story 3,Buena Vista,415004880,2010,Animation 
17,Iron Man 3,Buena Vista,409013994,2013,Superhero 
18,The Hunger Games,Lionsgate,408010692,2012,Adventure 
19,Spider-Man,Sony,403706375,2002,Superhero 
20,Jurassic Park,Universal,402453882,1993,Horror
21,Transformers: Revenge of the Fallen,DreamWorks,402111870,2009,Sci-Fi 
22,Frozen,Buena Vista,400738009,2013,Animation 
23,Harry Potter and the Deathly Hallows Part 2,Warner Bros.,381011219,2011,Fantasy 
24,Finding Nemo,Buena Vista,380843261,2003,Animation 
25,Star Wars: Episode III - Revenge of the Sith,Fox,380270577,2005,Sci-Fi 
26,The Lord of the Rings: The Return of the King,New Line,377845905,2003,Fantasy 
27,Spider-Man 2,Sony,373585825,2004,Superhero 
28,The Passion of the Christ,Newmarket,370782930,2004,Drama
29,Despicable Me 2,Universal,368061265,2013,Animation 
30,Inside Out,Buena Vista,356461711,2015,Animation 
31,Deadpool,Fox,355108934,2016,Superhero 
32,Furious 7,Universal,353007020,2015,Action 
33,Transformers: Dark of the Moon,DreamWorks,352390543,2011,Sci-Fi 
34,American Sniper,Warner Bros.,350126372,2014,Drama
35,The Lord of the Rings: The Two Towers,New Line,342551365,2002,Fantasy 
36,The Hunger Games: Mockingjay - Part 1,Lionsgate,337135885,2014,Adventure 
37,Spider-Man 3,Sony,336530303,2007,Superhero 
38,Minions,Universal,336045770,2015,Animation 
39,Alice in Wonderland (2010),Buena Vista,334191110,2010,Family  
40,Guardians of the Galaxy,Buena Vista,333176600,2014,Adventure 
41,Forrest Gump,Paramount,330252182,1994,Drama
42,Shrek the Third,DreamWorks,322719944,2007,Animation 
43,Transformers,DreamWorks,319246193,2007,Sci-Fi 
44,Iron Man,Paramount,318412101,2008,Superhero 
45,Harry Potter and the Sorcerer's Stone,Warner Bros.,317575550,2001,Fantasy 
46,Indiana Jones and the Kingdom of the Crystal Skull,Paramount,317101119,2008,Adventure 
47,The Lord of the Rings: The Fellowship of the Ring,New Line,315544750,2001,Fantasy 
48,Iron Man 2,Paramount,312433331,2010,Superhero 
49,Star Wars: Episode II - Attack of the Clones,Fox,310676740,2002,Sci-Fi 
50,Pirates of the Caribbean: At World's End,Buena Vista,309420425,2007,Adventure 
51,Return of the Jedi,Fox,309306177,1983,Sci-Fi 
52,Independence Day,Fox,306169268,1996,Sci-Fi 
53,Pirates of the Caribbean: The Curse of the Black Pearl,Buena Vista,305413918,2003,Adventure 
